"Immune Cell","TIGIT","PVR","CD226","PDCD1","CD274"
"CD4+ Tem",0.566,0.005,0.635,0.473,0.027
"Tregs",2.184,0.006,0.539,0.798,0.029
"CD8+ Tem",1.328,0.006,0.301,0.401,0.021
"CD4+ Tcm",0.803,0.005,0.518,0.312,0.032
"Macrophages",0.006,0.105,0.132,0.006,0.058
"Monocytes",0.07,0.064,0.203,0.029,0.039
"Chondrocytes",0.024,0.279,0.004,0.002,0.109
"CD4+ T-cells",0.267,0.007,0.287,0.054,0.021
"CD8+ Tcm",1.189,0.005,0.32,0.225,0.021
"Fibroblasts",0.04,0.217,0.033,0,0.065
"Adipocytes",0.016,0.109,0.078,0.002,0.051
"Plasma cells",0.009,0.001,0.02,0.014,0.014
"Class-switched memory B-cells",0.031,0.001,0.033,0.028,0.024
"NK cells",0.791,0.013,0.607,0.025,0.015
"naive B-cells",0.016,0.001,0.006,0.009,0.005
"Memory B-cells",0.04,0.003,0.013,0.025,0.022
"mv Endothelial cells",0,0,0,0,0
"DC",0.029,0.201,0.446,0.026,0.579
"CD8+ T-cells",0.028,0.014,0.254,0,0.021
"CLP",0.043,0.005,0.076,0.014,0.008
"MPP",0,0,0.3,0,0
"GMP",0,0,0.404,0.038,0
"Endothelial cells",0,0,0,0,0
"MEP",0,0.032,0,0,0.097
"Erythrocytes",0,0,0.235,0,0
"HSC",0,0,0,0,0
"CMP",0.667,0,0,0,0
"Macrophages M1",0.25,0,0,0,0.125
