"Immune Cell","TIGIT","PVR","CD226","PDCD1","CD274"
"CD4+ Tem",24.684,0.342,37.738,21.786,2.153
"Tregs",64.554,0.5,30.096,31.717,2.128
"CD8+ Tem",50.209,0.401,17.708,22.773,1.479
"CD4+ Tcm",33.326,0.345,35.578,16.41,2.263
"Macrophages",0.545,9.81,11.102,0.503,5.005
"Monocytes",2.461,5.826,13.483,1.427,3.021
"Chondrocytes",0.47,7.596,0.157,0.078,2.897
"CD4+ T-cells",11.129,0.637,20.452,3.081,1.514
"CD8+ Tcm",50.222,0.457,19.749,14.151,1.693
"Fibroblasts",0.725,5.072,0.362,0,1.812
"Adipocytes",0.181,6.703,7.246,0.181,2.174
"Plasma cells",0.584,0.117,1.539,0.75,0.74
"Class-switched memory B-cells",2.019,0.092,2.594,1.804,1.435
"NK cells",35.525,1.135,34.121,1.767,1.194
"naive B-cells",0.969,0.095,0.556,0.683,0.397
"Memory B-cells",2.711,0.125,1.063,1.543,1.188
"mv Endothelial cells",0,0,0,0,0
"DC",2.143,16.161,27.679,2.232,35
"CD8+ T-cells",2.289,1.408,18.662,0,2.113
"CLP",2.432,0.541,5.135,1.351,0.811
"MPP",0,0,30,0,0
"GMP",0,0,28.846,3.846,0
"Endothelial cells",0,0,0,0,0
"MEP",0,3.226,0,0,6.452
"Erythrocytes",0,0,23.529,0,0
"HSC",0,0,0,0,0
"CMP",66.667,0,0,0,0
"Macrophages M1",12.5,0,0,0,12.5
