"Immune Cell","TIGIT","PVR","CD226","PDCD1","CD274"
"Monocytes",0.006,0,0.018,0,0
"CD4+ Tcm",0.135,0,0.106,0.001,0
"CD4+ T-cells",0.021,0,0.046,0,0
"NK cells",0.194,0,0.163,0,0
"naive B-cells",0.002,0,0.01,0,0
"CD4+ Tem",0.059,0,0.155,0.001,0
"CD8+ Tem",0.25,0,0.114,0.002,0
"CD8+ Tcm",0.239,0,0.112,0.001,0
"Tregs",0.377,0,0.087,0.002,0
"CD8+ T-cells",0.005,0,0.045,0,0
"Memory B-cells",0.01,0,0.01,0,0
"Erythrocytes",0,0,0,0,0
"GMP",0,0,0,0,0
"Class-switched memory B-cells",0.021,0,0.009,0,0
"Megakaryocytes",0,0,0.786,0,0
"Plasma cells",0.014,0,0.014,0,0
"CLP",0,0,0,0,0
"Macrophages",0,0,0,0,0
