"Immune Cell","TIGIT","PVR","CD226","PDCD1","CD274"
"Monocytes",0.57,0.021,1.774,0,0
"CD4+ Tcm",10.76,0,9.591,0.117,0
"CD4+ T-cells",1.601,0,4.345,0.023,0
"NK cells",15.866,0.03,14.597,0,0
"naive B-cells",0.114,0,0.912,0,0
"CD4+ Tem",4.837,0,14.413,0.099,0
"CD8+ Tem",17.995,0,10.788,0.239,0
"CD8+ Tcm",17.784,0,10.324,0.054,0
"Tregs",26.181,0,8.111,0.205,0
"CD8+ T-cells",0.508,0,3.871,0,0
"Memory B-cells",1.028,0,1.028,0,0
"Erythrocytes",0,0,0,0,0
"GMP",0,0,0,0,0
"Class-switched memory B-cells",2.059,0,0.882,0,0
"Megakaryocytes",0,0,48.571,0,0
"Plasma cells",1.449,0,1.449,0,0
"CLP",0,0,0,0,0
"Macrophages",0,0,0,0,0
