"Immune Cell","TIGIT","PVR","CD226","PDCD1","CD274"
"CD8+ Tem",0.769,0.006,0.223,0.169,0.025
"NK cells",0.543,0.024,0.295,0.053,0.01
"Monocytes",0.028,0.047,0.02,0.002,0.007
"CD4+ Tem",0.256,0.006,0.209,0.065,0.028
"CD4+ T-cells",0.168,0.008,0.111,0.015,0.012
"CD8+ Tcm",0.832,0.015,0.143,0.09,0.03
"Tregs",1.596,0.007,0.11,0.104,0.006
"Neutrophils",0,0,0,0,0
"naive B-cells",0.041,0,0.004,0.004,0.002
"CD8+ T-cells",0.171,0.016,0.091,0.023,0.015
"CD4+ Tcm",0.304,0.01,0.142,0.03,0.021
"Plasma cells",0.021,0,0.04,0.007,0.056
"DC",0,0.205,0.109,0,0
"MPP",0,0,0,0,0
"Erythrocytes",0.007,0,0.003,0,0
"HSC",0,0,0,0,0
"Memory B-cells",0.065,0.014,0.025,0.018,0.011
"Megakaryocytes",0,0,2.957,0,0.035
"CLP",0.017,0.031,0.111,0.017,0
"Macrophages",0,0,0,0,0
"GMP",0,0,0,0,0
"Class-switched memory B-cells",0,0,0.302,0,0
"MEP",0,0,0.306,0,0
"Skeletal muscle",0,1.389,0,0,0
"Neurons",0,0,0,0,0
"Fibroblasts",0,0,0,0,0
"CMP",0,0.361,0,0,0
"Preadipocytes",0,0,0,0,0
"Eosinophils",0,0,0,0,0
"Endothelial cells",0,0,0,0,0
