"Immune Cell","TIGIT","PVR","CD226","PDCD1","CD274"
"CD8+ Tem",14.662,0.201,5.543,4.057,0.743
"NK cells",10.67,0.537,6.467,1.284,0.28
"Monocytes",0.854,1.619,0.755,0.109,0.278
"CD4+ Tem",5.593,0.151,6.197,1.602,0.846
"CD4+ T-cells",2.9,0.178,2.884,0.356,0.356
"CD8+ Tcm",15.003,0.436,3.764,2.455,0.764
"Tregs",23.077,0.139,3.188,2.98,0.139
"Neutrophils",0,0,0,0,0
"naive B-cells",1.077,0,0.154,0.154,0.154
"CD8+ T-cells",1.929,0.429,2.357,0.571,0.357
"CD4+ Tcm",8.416,0.332,4.983,0.886,0.664
"Plasma cells",2.158,0,4.317,0.719,2.878
"DC",0,25,12.5,0,0
"MPP",0,0,0,0,0
"Erythrocytes",0.413,0,0.207,0,0
"HSC",0,0,0,0,0
"Memory B-cells",2,0.4,1.2,0.8,0.4
"Megakaryocytes",0,0,43.421,0,1.316
"CLP",0.8,0.8,3.2,0.8,0
"Macrophages",0,0,0,0,0
"GMP",0,0,0,0,0
"Class-switched memory B-cells",0,0,18.75,0,0
"MEP",0,0,6.25,0,0
"Skeletal muscle",0,33.333,0,0,0
"Neurons",0,0,0,0,0
"Fibroblasts",0,0,0,0,0
"CMP",0,25,0,0,0
"Preadipocytes",0,0,0,0,0
"Eosinophils",0,0,0,0,0
"Endothelial cells",0,0,0,0,0
