"Immune Cell","TIGIT","PVR","CD226","PDCD1","CD274"
"CD8+ T-cells",0.052,0.007,0.231,0.007,0.019
"Tregs",2.974,0.005,0.362,0.279,0.042
"Monocytes",0.03,0.091,0.073,0.009,0.012
"CD4+ Tcm",0.746,0.005,0.522,0.167,0.049
"CD8+ Tcm",1.251,0.002,0.492,0.234,0.038
"CD4+ Tem",0.31,0.005,0.638,0.27,0.054
"CD8+ Tem",0.828,0.001,0.656,0.363,0.025
"CD4+ T-cells",0.106,0.005,0.267,0.01,0.027
"NK cells",1.299,0.012,0.783,0.025,0.025
"naive B-cells",0.021,0.005,0.058,0.003,0
"Memory B-cells",0.045,0,0.041,0,0.017
"MPP",0,0,0,0,0
"Megakaryocytes",0,0,5.183,0,0
"Eosinophils",0,0,0,0,0
"DC",0,0,0,0,0
"MEP",0,0,0,0,0
"Class-switched memory B-cells",0.037,0,0.092,0,0.009
"Plasma cells",0.029,0,0.016,0,0.018
"CLP",0,0,0,0,0
"Macrophages",0,0,0,0,0
"CMP",0,0,0,0,0
"Erythrocytes",0,0,0,0,0
"GMP",0.135,0,0,0,0
"Neutrophils",0,0,0,0,0
"HSC",0,0,0,0,0
