"Immune Cell","TIGIT","PVR","CD226","PDCD1","CD274"
"CD8+ T-cells",0.951,0.19,5.006,0.19,0.317
"Tregs",41.384,0.133,8.25,6.055,0.998
"Monocytes",1.136,3.112,2.794,0.25,0.318
"CD4+ Tcm",12.518,0.094,11.718,3.529,1.412
"CD8+ Tcm",22.723,0.138,11.997,5.191,1.134
"CD4+ Tem",5.755,0.117,14.21,5.52,1.468
"CD8+ Tem",15.884,0.026,14.595,7.916,0.67
"CD4+ T-cells",1.862,0.1,5.72,0.2,0.532
"NK cells",24.568,0.319,17.458,0.668,0.668
"naive B-cells",0.496,0.124,1.363,0.124,0
"Memory B-cells",1.376,0,1.376,0,0.459
"MPP",0,0,0,0,0
"Megakaryocytes",0,0,31.183,0,0
"Eosinophils",0,0,0,0,0
"DC",0,0,0,0,0
"MEP",0,0,0,0,0
"Class-switched memory B-cells",1.149,0,1.916,0,0.383
"Plasma cells",4.286,0,2.857,0,2.857
"CLP",0,0,0,0,0
"Macrophages",0,0,0,0,0
"CMP",0,0,0,0,0
"Erythrocytes",0,0,0,0,0
"GMP",10,0,0,0,0
"Neutrophils",0,0,0,0,0
"HSC",0,0,0,0,0
