"Immune Cell","TIGIT","PVR","CD226","PDCD1","CD274"
"Plasma cells",0.025,0.003,0.012,0.006,0.029
"NK cells",1.141,0.013,0.17,0.011,0.02
"CD8+ Tcm",1.632,0.001,0.082,0.235,0.012
"CD8+ Tem",1.212,0.004,0.124,0.599,0.03
"CD4+ Tem",0.404,0.005,0.159,0.39,0.013
"Tregs",3.442,0.005,0.092,0.57,0.035
"Macrophages",0.023,0.024,0.031,0.005,0.126
"Monocytes",0.008,0.038,0.023,0.006,0.078
"CD8+ T-cells",0.043,0.003,0.048,0.136,0.009
"CLP",0.082,0.012,0.017,0.048,0.018
"MEP",0.017,0.009,0.06,0,0.056
"CD4+ Tcm",1.069,0.01,0.107,0.364,0.012
"Memory B-cells",0.039,0.003,0.006,0.035,0.019
"CD4+ T-cells",0.198,0.004,0.065,0.117,0.005
"MPP",0,0,0.182,0,0.045
"CMP",0,0.011,0.138,0,0.129
"Class-switched memory B-cells",0.012,0.001,0.016,0.045,0.012
"DC",0.038,0.063,0.06,0.032,0.483
"naive B-cells",0.017,0.005,0.002,0.008,0.004
"Fibroblasts",0.038,0.151,0,0,0
"GMP",0.019,0,0.07,0.135,0.038
"Adipocytes",0,0,0,0,0
"Erythrocytes",0.021,0,0.203,0,0
"HSC",0.407,0,0,0,0
"Macrophages M1",0,0,0.009,0,0.277
"Epithelial cells",0,0.032,0,0,0
"Megakaryocytes",0.042,0,1.7,0,0
"Keratinocytes",2.95,0,0,0,0
"Myocytes",0,0,0,0,0
"mv Endothelial cells",0,0,0,0,0
"Astrocytes",0,0,0,0,0
"Neutrophils",0,0,0,0,0
"Pericytes",0,0,0,0,0
"Melanocytes",0,0,0,0,0
"Smooth muscle",0,0,0,0,0
