"Immune Cell","TIGIT","PVR","CD226","PDCD1","CD274"
"Plasma cells",1.323,0.178,0.535,0.28,1.104
"NK cells",14.331,0.237,2.63,0.184,0.158
"CD8+ Tcm",17.509,0.042,1.472,3.213,0.184
"CD8+ Tem",13.11,0.061,1.999,7.418,0.446
"CD4+ Tem",4.622,0.109,2.82,5.376,0.218
"Tregs",34.843,0.063,1.7,8.373,0.655
"Macrophages",0.364,1.164,0.837,0.255,3.838
"Monocytes",0.157,0.818,0.749,0.183,1.462
"CD8+ T-cells",0.595,0.066,0.892,1.421,0.132
"CLP",0.678,0.156,0.261,0.626,0.104
"MEP",0.18,0.18,0.685,0,0.757
"CD4+ Tcm",12.461,0.231,2.308,5.014,0.21
"Memory B-cells",0.773,0.029,0.143,0.816,0.344
"CD4+ T-cells",2.269,0.054,1.233,1.286,0.089
"MPP",0,0,2.586,0,0.862
"CMP",0,0.315,1.262,0,1.262
"Class-switched memory B-cells",0.327,0.033,0.36,1.015,0.458
"DC",0.718,2.874,2.443,1.868,14.368
"naive B-cells",0.306,0.061,0.037,0.147,0.073
"Fibroblasts",6.667,6.667,0,0,0
"GMP",0.415,0,0.415,0.415,0.415
"Adipocytes",0,0,0,0,0
"Erythrocytes",0.755,0,0.755,0,0
"HSC",1.515,0,0,0,0
"Macrophages M1",0,0,2.273,0,4.545
"Epithelial cells",0,5.556,0,0,0
"Megakaryocytes",1.02,0,17.347,0,0
"Keratinocytes",20,0,0,0,0
"Myocytes",0,0,0,0,0
"mv Endothelial cells",0,0,0,0,0
"Astrocytes",0,0,0,0,0
"Neutrophils",0,0,0,0,0
"Pericytes",0,0,0,0,0
"Melanocytes",0,0,0,0,0
"Smooth muscle",0,0,0,0,0
